"setting","rule","prob","iid","AR1","AR2","gap_AR2_iid","t_p","w_p","datasets_won","blocks_won"
4,"full-series",0.9,0.0875462333993519,0.088336896652037,0.0875452262911111,-1.00710824074064e-06,0.499649305153617,0.540593658362679,5,1
4,"full-series",0.91,0.079451961569537,0.0802126574693519,0.0794520233724074,6.18028703689788e-08,0.500023707561495,0.580768109038768,5,1
4,"full-series",0.92,0.0711691198987037,0.0718663160175926,0.0711541122498148,-1.50076488888883e-05,0.493752504031017,0.580768109038768,5,1
4,"full-series",0.93,0.0631992373457407,0.0638038669657407,0.0631514933977778,-4.77439479629625e-05,0.477892641652466,0.658259548899287,5,1
4,"full-series",0.94,0.0552895110953704,0.0557843471175926,0.0552145977981481,-7.49132972222215e-05,0.46128131790137,0.658259548899287,5,1
4,"full-series",0.95,0.0466682463612037,0.0471031285835185,0.0465914512263889,-7.67951348148154e-05,0.452230512657325,0.694850672011723,4,1
4,"full-series",0.96,0.0382769017694444,0.0386334466875926,0.038206052245463,-7.08495239814815e-05,0.44384174355615,0.694850672011723,4,1
4,"full-series",0.97,0.0292261547982407,0.0295203047828704,0.0291749264375,-5.12283607407404e-05,0.441683280226238,0.729591047878691,4,1
4,"full-series",0.98,0.0199562899261111,0.0201899172858333,0.019951362202037,-4.92772407407346e-06,0.48907083569264,0.729591047878691,4,1
4,"full-series",0.99,0.00960801384972222,0.00975124675175926,0.00961818094685185,1.01670971296294e-05,0.597893003466118,0.792588466407613,4,1
4,"full-series",0.995,0.00478598543759259,0.00487999215611111,0.00478699400101852,1.00856342592581e-06,0.530764272082299,0.658259548899287,4,2
5,"full-series",0.9,0.120722292508148,0.11881354138,0.0949250072777778,-0.0257972852303704,0.00339143892753874,0.00296076851207435,10,5
5,"full-series",0.91,0.111896424249537,0.110989270055185,0.0896173853539815,-0.0222790388955556,0.00244699853312042,0.00402261874328085,9,5
5,"full-series",0.92,0.102587202975278,0.102477139615093,0.0837263357693518,-0.0188608672059259,0.0018660291040539,0.00402261874328085,9,5
5,"full-series",0.93,0.0918838707397222,0.0924363587728704,0.0764265814298148,-0.0154572893099074,0.00167638089966732,0.00402261874328085,9,5
5,"full-series",0.94,0.0805919935605556,0.0816913448841667,0.0684217249455556,-0.012170268615,0.00152939060808902,0.00402261874328085,9,5
5,"full-series",0.95,0.0680127921162037,0.0695713626807407,0.0591116358605556,-0.00890115625564815,0.00208368027624013,0.00402261874328085,9,5
5,"full-series",0.96,0.0550381800862963,0.0568694402209259,0.0490176063678704,-0.00602057371842593,0.00353963988709875,0.00402261874328085,9,5
5,"full-series",0.97,0.0417498877231482,0.0435694611183333,0.037954843800463,-0.00379504392268518,0.00939353880701586,0.00402261874328085,9,5
5,"full-series",0.98,0.0280002326359259,0.0296365887909259,0.0260027372941667,-0.00199749534175926,0.0483531851660966,0.00541346063856565,9,5
5,"full-series",0.99,0.0140176795141667,0.0152178649107407,0.0131645404356481,-0.000853139078518519,0.168698511437139,0.0631394642773489,8,4
5,"full-series",0.995,0.00721488224351852,0.00822049313046296,0.00665026965944444,-0.000564612584074074,0.188479900860875,0.0631394642773489,8,4
7,"full-series",0.9,0.102379849300278,0.104325549184352,0.102241043771759,-0.00013880552851852,0.47506202483191,0.237766329798451,6,3
7,"full-series",0.91,0.0932567558642593,0.0954322710731482,0.093495138892037,0.000238383027777777,0.547527880889829,0.379882912989033,6,3
7,"full-series",0.92,0.0838813988335185,0.0862417630801852,0.0845193560836111,0.000637957250092592,0.636066078571636,0.419231890961232,5,3
7,"full-series",0.93,0.0749100560232407,0.0773721586943519,0.0757718689246296,0.000861812901388889,0.699457067028129,0.419231890961232,5,3
7,"full-series",0.94,0.0653221684301852,0.0678533328494444,0.0663905033963889,0.0010683349662037,0.766841320598236,0.459406341637321,5,3
7,"full-series",0.95,0.055649062177037,0.0582609129675,0.0569444631535185,0.00129540097648148,0.835797842272029,0.658259548899287,4,3
7,"full-series",0.96,0.0452889801284259,0.0478835243657407,0.0467290204857407,0.00144004035731481,0.886227974619845,0.729591047878691,4,3
7,"full-series",0.97,0.0343265229755556,0.0368009588611111,0.0358627325248148,0.00153620954925926,0.921053482879235,0.889364092163765,3,2
7,"full-series",0.98,0.0230914480125,0.0252804821639815,0.0245383360221296,0.00144688800962963,0.938257401869673,0.923211801725008,3,1
7,"full-series",0.99,0.0116710870296296,0.013236462165,0.0128663895842593,0.00119530255462963,0.940484300780492,0.958434428649598,3,0
7,"full-series",0.995,0.0058093829037037,0.0068275585362037,0.00676400291601852,0.000954620012314815,0.93759456522856,0.990470554199135,2,0
