"band_type","event_quantile","event_threshold_value","score_mean","score_se","rel_to_gaussian","n_obs_total","n_obs_mean_per_fold","obs_share","score_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
"all",0.9,73.25,0.045044881630345,0.00123137598059925,1,23985,11992.5,1,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"below_threshold",0.9,73.25,0.0180706832532135,0.000880078976855245,1,21603,10801.5,0.900687929956223,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"above_threshold",0.9,73.25,0.289813550676462,0.00367026101903961,1,2382,1191,0.0993120700437774,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"all",0.95,79.75,0.0270301315668394,0.00205895451591001,1,23985,11992.5,1,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"below_threshold",0.95,79.75,0.00843169951156119,0.000588712028187025,1,22787,11393.5,0.950052115905774,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"above_threshold",0.95,79.75,0.380242807656028,0.0112629304679786,1,1198,599,0.0499478840942256,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"all",0.98,88.5,0.0129121358741124,0.00068324673182685,1,23985,11992.5,1,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"below_threshold",0.98,88.5,0.00221427984637318,0.000206848790029169,1,23508,11754,0.980112570356473,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"above_threshold",0.98,88.5,0.539962279153318,0.00479470610983979,1,477,238.5,0.0198874296435272,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"all",0.99,94.75,0.00726353072383586,0.000585627911466105,1,23985,11992.5,1,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
"below_threshold",0.99,94.75,0.000752340992724027,9.2872373195407e-05,1,23746,11873,0.990035438815927,"lower_better",1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
