"score","method","mrts_k","dataset","quantile","value"
"brier",1,0,1,0.9,0.0223935738136364
"brier",1,0,1,0.91,0.0228518807772727
"brier",1,0,1,0.92,0.0218936126272727
"brier",1,0,1,0.93,0.0216662416954545
"brier",1,0,1,0.94,0.0211666665181818
"brier",1,0,1,0.95,0.0177983977772727
"brier",1,0,1,0.96,0.0137341922636364
"brier",1,0,1,0.97,0.0114458630272727
"brier",1,0,1,0.98,0.0109900859454545
"brier",1,0,1,0.99,0.0062373047
"brier",1,0,1,0.995,0.00404776375454545
"brier",1,0,2,0.9,0.0368618217909091
"brier",1,0,2,0.91,0.0332287079181818
"brier",1,0,2,0.92,0.0290105344272727
"brier",1,0,2,0.93,0.0256052157272727
"brier",1,0,2,0.94,0.02213814905
"brier",1,0,2,0.95,0.0191773224545455
"brier",1,0,2,0.96,0.0150579201590909
"brier",1,0,2,0.97,0.00840423711363636
"brier",1,0,2,0.98,0.00355745872727273
"brier",1,0,2,0.99,0.00330521617727273
"brier",1,0,2,0.995,0.00345043359090909
"brier",1,0,3,0.9,0.0298167806272727
"brier",1,0,3,0.91,0.0294564344227273
"brier",1,0,3,0.92,0.0282700929636364
"brier",1,0,3,0.93,0.0254078261909091
"brier",1,0,3,0.94,0.0221340444
"brier",1,0,3,0.95,0.0185191555454545
"brier",1,0,3,0.96,0.0166603928136364
"brier",1,0,3,0.97,0.0125276274636364
"brier",1,0,3,0.98,0.0103529345727273
"brier",1,0,3,0.99,0.00704697173636364
"brier",1,0,3,0.995,0.00237794623181818
"brier",1,0,4,0.9,0.0287762295318182
"brier",1,0,4,0.91,0.0252637295181818
"brier",1,0,4,0.92,0.0208310890590909
"brier",1,0,4,0.93,0.0160336629
"brier",1,0,4,0.94,0.01123807785
"brier",1,0,4,0.95,0.00586882218636364
"brier",1,0,4,0.96,0.00569609014545455
"brier",1,0,4,0.97,0.00811431296363636
"brier",1,0,4,0.98,0.00835606909545455
"brier",1,0,4,0.99,0.00609958063181818
"brier",1,0,4,0.995,0.00340467787272727
"brier",1,0,5,0.9,0.0260634878090909
"brier",1,0,5,0.91,0.02482612705
"brier",1,0,5,0.92,0.0213442951136364
"brier",1,0,5,0.93,0.0196672544909091
"brier",1,0,5,0.94,0.0170967345818182
"brier",1,0,5,0.95,0.0120860970272727
"brier",1,0,5,0.96,0.0109474853
"brier",1,0,5,0.97,0.0116291807136364
"brier",1,0,5,0.98,0.00840574600454545
"brier",1,0,5,0.99,0.00445267896818182
"brier",1,0,5,0.995,0.00344109497272727
"brier",1,0,6,0.9,0.0376969623636364
"brier",1,0,6,0.91,0.0356988497454545
"brier",1,0,6,0.92,0.0335704702090909
"brier",1,0,6,0.93,0.0316863182090909
"brier",1,0,6,0.94,0.0283532365772727
"brier",1,0,6,0.95,0.02546682435
"brier",1,0,6,0.96,0.0223018225636364
"brier",1,0,6,0.97,0.0197256822136364
"brier",1,0,6,0.98,0.0148216661227273
"brier",1,0,6,0.99,0.00627980367272727
"brier",1,0,6,0.995,0.00333264257727273
"brier",1,0,7,0.9,0.0353149070045455
"brier",1,0,7,0.91,0.0333076634909091
"brier",1,0,7,0.92,0.0288969025772727
"brier",1,0,7,0.93,0.0220267276090909
"brier",1,0,7,0.94,0.0153981545181818
"brier",1,0,7,0.95,0.00885313927272727
"brier",1,0,7,0.96,1.64537090909091e-05
"brier",1,0,7,0.97,0.00661273155454545
"brier",1,0,7,0.98,0.00784309873636364
"brier",1,0,7,0.99,0.00552403001818182
"brier",1,0,7,0.995,0.00124537051363636
"brier",1,0,8,0.9,0.0277143290863636
"brier",1,0,8,0.91,0.0252574308409091
"brier",1,0,8,0.92,0.0237656197954545
"brier",1,0,8,0.93,0.0215812415363636
"brier",1,0,8,0.94,0.0192711786409091
"brier",1,0,8,0.95,0.0161959046045455
"brier",1,0,8,0.96,0.0150354428045455
"brier",1,0,8,0.97,0.0108952453636364
"brier",1,0,8,0.98,0.00721094176818182
"brier",1,0,8,0.99,0.00600504435909091
"brier",1,0,8,0.995,0.00457780041363636
"brier",1,0,9,0.9,0.0375375083181818
"brier",1,0,9,0.91,0.0314502716363636
"brier",1,0,9,0.92,0.0279151779727273
"brier",1,0,9,0.93,0.0237878804090909
"brier",1,0,9,0.94,0.01883874535
"brier",1,0,9,0.95,0.0153266423090909
"brier",1,0,9,0.96,0.0122150028045455
"brier",1,0,9,0.97,0.0110440690681818
"brier",1,0,9,0.98,0.00874893282272727
"brier",1,0,9,0.99,0.00543738285
"brier",1,0,9,0.995,0.00369592658636364
"brier",1,0,10,0.9,0.0143225656545455
"brier",1,0,10,0.91,0.0120628467681818
"brier",1,0,10,0.92,0.0100636044772727
"brier",1,0,10,0.93,0.00945541855
"brier",1,0,10,0.94,0.0110300398090909
"brier",1,0,10,0.95,0.00891008071818182
"brier",1,0,10,0.96,0.00851810085909091
"brier",1,0,10,0.97,0.00725104499090909
"brier",1,0,10,0.98,0.00725478165
"brier",1,0,10,0.99,0.00615083657727273
"brier",1,0,10,0.995,0.00397364539545455
"brier",2,0,1,0.9,0.0220720149318182
"brier",2,0,1,0.91,0.0223002005045455
"brier",2,0,1,0.92,0.0211795062181818
"brier",2,0,1,0.93,0.0203177836454545
"brier",2,0,1,0.94,0.0196965334318182
"brier",2,0,1,0.95,0.0168695263272727
"brier",2,0,1,0.96,0.0131188657590909
