"score","method","mrts_k","quantile","rel_mean","rel_median"
"brier",1,0,0.9,1,1
"brier",1,0,0.91,1,1
"brier",1,0,0.92,1,1
"brier",1,0,0.93,1,1
"brier",1,0,0.94,1,1
"brier",1,0,0.95,1,1
"brier",1,0,0.96,1,1
"brier",1,0,0.97,1,1
"brier",1,0,0.98,1,1
"brier",1,0,0.99,1,1
"brier",1,0,0.995,1,1
"brier",2,0,0.9,0.999691598009384,0.991195956983191
"brier",2,0,0.91,0.997843302697501,0.996072982083131
"brier",2,0,0.92,1.00075766845297,1.00489924036341
"brier",2,0,0.93,1.00092988669349,0.996874453900421
"brier",2,0,0.94,1.00412188698988,1.02180973327368
"brier",2,0,0.95,1.00922449593757,1.01119385318542
"brier",2,0,0.96,1.00891811904249,1.0048960463343
"brier",2,0,0.97,1.00537888905975,1.01728988849544
"brier",2,0,0.98,0.993650624555693,0.992934580111162
"brier",2,0,0.99,0.974391487889961,1.01920885924652
"brier",2,0,0.995,1.04146928587166,0.976360144973021
"brier",3,0,0.9,0.971355566467998,0.9689997341383
"brier",3,0,0.91,0.970111552993013,0.973416746854869
"brier",3,0,0.92,0.972229086271538,0.977507197304869
"brier",3,0,0.93,0.973986168364364,0.973578592025607
"brier",3,0,0.94,0.97967771057009,0.981890193071095
"brier",3,0,0.95,0.987720750370322,0.993436607796197
"brier",3,0,0.96,0.993464666398852,0.993284984257359
"brier",3,0,0.97,0.993517537976771,0.99250889575081
"brier",3,0,0.98,0.979679290723824,1.00235494258503
"brier",3,0,0.99,0.989879972023553,1.04341475036686
"brier",3,0,0.995,1.11777024860829,1.04005534361388
"brier",4,0,0.9,0.926375744139448,0.953793587048313
"brier",4,0,0.91,0.923985188531824,0.933685194181206
"brier",4,0,0.92,0.918807284807585,0.965071513701426
"brier",4,0,0.93,0.92845360608607,0.953999581588618
"brier",4,0,0.94,0.935409334281755,0.958994125364938
"brier",4,0,0.95,0.939975218497328,0.923481983295609
"brier",4,0,0.96,0.940255968665546,0.969236903152642
"brier",4,0,0.97,0.910410363047929,0.963201054872472
"brier",4,0,0.98,0.87106821375616,0.954549697736253
"brier",4,0,0.99,0.880551950177127,0.916425606700221
"brier",4,0,0.995,0.943368173760135,0.821887460263784
"brier",5,0,0.9,0.928351694084503,0.938914672019845
"brier",5,0,0.91,0.925432432045344,0.920529706062787
"brier",5,0,0.92,0.924826511436853,0.948847058671674
"brier",5,0,0.93,0.925361134909305,0.93355992229693
"brier",5,0,0.94,0.931807439548964,0.96516269025478
"brier",5,0,0.95,0.937926372879797,0.942420684542851
"brier",5,0,0.96,0.940504926200375,0.968259868768184
"brier",5,0,0.97,0.9369920645388,0.965836721936195
"brier",5,0,0.98,0.915938343161606,0.935827240053053
"brier",5,0,0.99,0.911709125518527,0.934737207445848
"brier",5,0,0.995,1.00888806218141,0.809762366916347
"brier",7,0,0.9,0.999166191353698,0.991882609063975
"brier",7,0,0.91,0.997083161365405,0.996034516608114
"brier",7,0,0.92,1.00081432994562,1.00347148374072
"brier",7,0,0.93,1.00056828182688,0.995468483828392
"brier",7,0,0.94,1.00492576164424,1.02249850559261
"brier",7,0,0.95,1.010602175156,1.01117220472248
"brier",7,0,0.96,1.00933478335619,1.00602603826372
"brier",7,0,0.97,1.00619004600084,1.01920348729851
"brier",7,0,0.98,0.994468365643489,0.996011886320745
"brier",7,0,0.99,0.97326432285492,1.00998034392018
"brier",7,0,0.995,1.04097418763785,0.979036722664515
"brier",8,0,0.9,0.968679590706619,0.960070636662839
"brier",8,0,0.91,0.965164947628926,0.961845278736338
"brier",8,0,0.92,0.969022412195069,0.964950834804979
"brier",8,0,0.93,0.974678330890696,0.974054648493942
"brier",8,0,0.94,0.980345292229269,0.979561569583046
"brier",8,0,0.95,0.98825159756025,0.96614032680537
"brier",8,0,0.96,0.983497767823948,1.03329919432338
"brier",8,0,0.97,0.989207862794655,1.04912380681661
"brier",8,0,0.98,0.969411846474961,1.0220228263083
"brier",8,0,0.99,0.982108176800423,1.01670558568606
"brier",8,0,0.995,1.15758529108029,1.08179721697572
"quant",1,0,0.9,1,1
"quant",1,0,0.91,1,1
"quant",1,0,0.92,1,1
"quant",1,0,0.93,1,1
"quant",1,0,0.94,1,1
"quant",1,0,0.95,1,1
"quant",1,0,0.96,1,1
"quant",1,0,0.97,1,1
"quant",1,0,0.98,1,1
"quant",1,0,0.99,1,1
"quant",1,0,0.995,1,1
"quant",2,0,0.9,0.999850569063502,1.00036525005954
"quant",2,0,0.91,0.999856772983799,1.00013130783783
"quant",2,0,0.92,0.999916089078267,0.999855633223898
"quant",2,0,0.93,0.999902832662541,0.999657969418503
"quant",2,0,0.94,0.999752350548606,0.998593163056285
"quant",2,0,0.95,0.999460813406064,0.99876577152858
"quant",2,0,0.96,0.998937297637196,1.00077610066802
"quant",2,0,0.97,0.998214882165931,0.999075314505428
"quant",2,0,0.98,1.00012970996708,0.999656457872167
"quant",2,0,0.99,0.99411773285637,1.00152526489764
"quant",2,0,0.995,0.978807588451875,0.9874735036037
"quant",3,0,0.9,0.998824426434565,0.999038758210909
"quant",3,0,0.91,0.998735939151016,0.998593965743369
"quant",3,0,0.92,0.99840923018901,0.99801639857743
"quant",3,0,0.93,0.998219087765016,0.998679750738698
"quant",3,0,0.94,0.99812068745398,0.996758872847706
"quant",3,0,0.95,0.997862874575025,0.997038481806419
"quant",3,0,0.96,0.997226680483982,1.00028213846886
"quant",3,0,0.97,0.996622752026848,0.996490083242949
"quant",3,0,0.98,0.997400280413665,0.996551838252806
"quant",3,0,0.99,0.993535138998198,1.0049945497434
"quant",3,0,0.995,0.987197498902645,1.00419938408644
"quant",4,0,0.9,0.997356630462694,0.996882500622379
"quant",4,0,0.91,0.997315615601404,0.996351409518106
"quant",4,0,0.92,0.997038752144568,0.995390343231248
"quant",4,0,0.93,0.996840881914127,0.998603579528064
