"m","d","K"
1,1,3
2,1,3
3,1,3
4,1,3
5,1,3
1,2,3
2,2,3
3,2,3
4,2,3
5,2,3
1,3,3
2,3,3
3,3,3
4,3,3
5,3,3
5,4,3
5,5,3
5,6,3
4,7,3
5,7,3
4,8,3
5,8,3
4,9,3
5,9,3
4,10,3
5,10,3
1,1,5
2,1,5
3,1,5
4,1,5
5,1,5
1,2,5
2,2,5
3,2,5
4,2,5
5,2,5
1,3,5
2,3,5
3,3,5
4,3,5
5,3,5
2,4,5
4,4,5
5,4,5
2,5,5
4,5,5
2,6,5
4,6,5
2,7,5
4,7,5
2,8,5
4,8,5
2,9,5
4,9,5
2,10,5
4,10,5
1,1,8
2,1,8
3,1,8
4,1,8
5,1,8
1,2,8
2,2,8
3,2,8
4,2,8
5,2,8
1,3,8
2,3,8
3,3,8
4,3,8
5,3,8
2,4,8
4,4,8
5,4,8
2,5,8
4,5,8
5,5,8
2,6,8
4,6,8
5,6,8
2,7,8
4,7,8
5,7,8
4,8,8
5,8,8
4,9,8
5,9,8
4,10,8
5,10,8
1,1,10
2,1,10
3,1,10
4,1,10
5,1,10
1,2,10
2,2,10
3,2,10
4,2,10
5,2,10
1,3,10
2,3,10
3,3,10
4,3,10
5,3,10
5,4,10
5,5,10
4,6,10
5,6,10
4,7,10
5,7,10
4,8,10
5,8,10
4,9,10
5,9,10
4,10,10
5,10,10
1,1,12
2,1,12
3,1,12
4,1,12
5,1,12
1,2,12
2,2,12
3,2,12
4,2,12
5,2,12
1,3,12
2,3,12
3,3,12
4,3,12
5,3,12
1,1,15
2,1,15
3,1,15
4,1,15
5,1,15
1,2,15
2,2,15
3,2,15
4,2,15
5,2,15
1,3,15
2,3,15
3,3,15
4,3,15
5,3,15
3,4,15
4,4,15
5,4,15
2,5,15
3,5,15
4,5,15
5,5,15
2,6,15
3,6,15
5,6,15
2,7,15
3,7,15
5,7,15
2,8,15
5,8,15
5,9,15
5,10,15
1,1,20
2,1,20
3,1,20
4,1,20
5,1,20
1,2,20
2,2,20
3,2,20
4,2,20
5,2,20
1,3,20
2,3,20
3,3,20
4,3,20
5,3,20
5,5,20
5,6,20
2,7,20
5,7,20
2,8,20
5,8,20
2,9,20
5,9,20
2,10,20
5,10,20
1,1,25
2,1,25
3,1,25
4,1,25
5,1,25
1,2,25
2,2,25
3,2,25
4,2,25
5,2,25
1,3,25
2,3,25
3,3,25
4,3,25
5,3,25
5,4,25
5,5,25
5,6,25
5,7,25
5,8,25
5,9,25
5,10,25
4,4,30
4,5,30
4,6,30
5,7,30
5,8,30
5,9,30
5,10,30
3,10,40
3,4,50
4,4,50
5,4,50
3,5,50
4,5,50
5,5,50
3,6,50
4,6,50
5,6,50
3,7,50
4,7,50
5,7,50
3,8,50
4,8,50
5,8,50
3,9,50
4,9,50
5,9,50
3,10,50
4,10,50
5,10,50
